date,regime,regime_name,growth_factor,inflation_factor,monetary_policy_factor,market_volatility_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1996-11-01,2,High Growth / High Inflation,0.9186726470557404,0.1778823394396722,5.31,17.89,0.0694713304541065,0.17487770461537064,0.174877704547507,0.4753668862896154,0.174877704547507
1996-12-01,2,High Growth / High Inflation,0.6407086216587032,0.1159910071169889,5.29,17.93,-0.0257141853140703,0.1748777046146092,0.1748777045473248,0.47536688629074136,0.1748777045473248
1997-01-01,2,High Growth / High Inflation,0.1585125359039318,0.1301599107474738,5.25,21.14,0.0570034636828287,0.17487770473664702,0.1748777045755225,0.47536688611230793,0.1748777045755225
1997-02-01,2,High Growth / High Inflation,1.1938518753170868,0.2085565316763071,5.19,19.58,0.0020434342625694,0.1748777049516972,0.17487770462521837,0.475366885797866,0.17487770462521837
1997-03-01,2,High Growth / High Inflation,0.6346132066227916,0.1054867357557221,5.39,20.89,-0.046816408915246,0.1748777046101596,0.17487770454629775,0.475366886297245,0.17487770454629775
1997-04-01,2,High Growth / High Inflation,0.1172201006550244,0.0982556069775819,5.51,20.84,0.0537643345755658,0.17487770456667803,0.17487770453624774,0.4753668863608264,0.17487770453624774
1997-05-01,2,High Growth / High Inflation,0.5539648397783647,-0.0455230887415614,5.5,19.87,0.0542373862897647,0.17487770460974628,0.1748777045462021,0.4753668862978496,0.1748777045462021
1997-06-01,2,High Growth / High Inflation,0.4595965749441433,0.1280919985198414,5.56,20.85,0.0392183256372267,0.17487770454966137,0.17487770453231757,0.4753668863857035,0.17487770453231757
1997-07-01,2,High Growth / High Inflation,0.8542220977454162,0.0596997953149935,5.52,21.0,0.0736010805857247,0.17487770458016338,0.17487770453936863,0.4753668863410994,0.17487770453936863
1997-08-01,2,High Growth / High Inflation,1.0004661403578252,0.0795522345654387,5.54,22.29,-0.0618744362079278,0.17487770459636653,0.17487770454310467,0.4753668863174242,0.17487770454310467
1997-09-01,2,High Growth / High Inflation,0.9159267160430806,0.2413058907026366,5.54,24.53,0.0489076614345715,0.17487770461123373,0.17487770454655113,0.4753668862956639,0.17487770454655113
1997-10-01,2,High Growth / High Inflation,0.8866930363580661,0.1302747097139622,5.5,22.32,-0.0389506758334419,0.1748777045914874,0.1748777045419854,0.47536688632454177,0.1748777045419854
1997-11-01,2,High Growth / High Inflation,0.7875135934105604,0.0056567485009484,5.52,32.09,0.0408078736523467,0.17487770670686587,0.17487770503076505,0.475366883231604,0.17487770503076505
1997-12-01,2,High Growth / High Inflation,0.4258485271143364,-0.0212116069913448,5.5,26.01,0.0110904286437081,0.17487770483141796,0.1748777045974268,0.4753668859737285,0.1748777045974268
1998-01-01,2,High Growth / High Inflation,0.4383363230729298,0.0495042502935083,5.56,23.42,0.006031787330619,0.17487770458570134,0.17487770454064602,0.4753668863330066,0.17487770454064602
1998-02-01,2,High Growth / High Inflation,0.1618798460184756,-0.0523071703234623,5.51,21.36,0.0664986313715432,0.17487770464769578,0.1748777045549734,0.4753668862423574,0.1748777045549734
1998-03-01,2,High Growth / High Inflation,0.0351652827490056,0.0155589187965876,5.49,19.19,0.0454296256625617,0.17487770458238652,0.17487770453988247,0.4753668863378485,0.17487770453988247
1998-04-01,2,High Growth / High Inflation,0.3431256509800251,0.1244519869891158,5.45,23.37,0.0048322006040866,0.17487770461580981,0.17487770454759718,0.4753668862889958,0.17487770454759718
1998-05-01,2,High Growth / High Inflation,0.6591340431881365,0.1370095200429411,5.49,19.34,-0.0229134542303565,0.17487770455533677,0.17487770453363458,0.475366886377394,0.17487770453363458
1998-06-01,2,High Growth / High Inflation,-0.5998591461821245,-0.0846322025530699,5.56,22.83,0.0349552442768146,0.17487770516639936,0.1748777046748277,0.4753668854839453,0.1748777046748277
1998-07-01,2,High Growth / High Inflation,-0.3845573464364205,0.2470530105174173,5.54,18.0,-0.0160724683193538,0.17487770456026672,0.174877704534766,0.47536688637020136,0.174877704534766
1998-08-01,2,High Growth / High Inflation,2.070330159316258,0.1380087311646294,5.55,25.98,-0.1500059183373461,0.1748777083890443,0.17487770541943543,0.47536688077208483,0.17487770541943543
1998-09-01,2,High Growth / High Inflation,-0.0532186253594302,-0.0576587725713118,5.51,36.48,0.0584388957691295,0.1748777358678886,0.17487771176866718,0.475366840594777,0.17487771176866718
1998-10-01,2,High Growth / High Inflation,0.6836260369526892,0.2195111655198589,5.07,43.48,0.0768966479955555,0.17488264881738347,0.17487884691758185,0.4753596573474529,0.17487884691758185
