combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_inflation_monetary_policy,5,2,export_price_index,0.08435610840334609,2.0378797510726634,0.04676872763243445,356.0
2vars_inflation_monetary_policy,5,2,vix,-0.03594353397890767,-3.9596929344677614,0.00023356345280189927,356.0
2vars_inflation_monetary_policy,5,3,nat_fin_condition_indx,0.01381452585343928,2.0169888312122164,0.047955911744069546,356.0
2vars_inflation_monetary_policy,5,3,vix,-0.03794678482396429,-4.899617672615317,7.0197419417272755e-06,356.0
2vars_inflation_monetary_policy,5,4,vix,-0.03341832857405835,-4.056353540182299,0.00014108931217760023,356.0
2vars_inflation_monetary_policy,6,0,vix,-0.03328473139402479,-3.5933538370640776,0.0007483425336727301,356.0
2vars_inflation_monetary_policy,6,1,vix,-0.03581782709428381,-3.3493515690840705,0.0019587798276250457,356.0
2vars_inflation_monetary_policy,6,2,vix,-0.03625393325794961,-3.2070569780181617,0.00312846340491002,356.0
2vars_inflation_monetary_policy,6,3,vix,-0.03742551448624314,-3.8292643087340443,0.0005013092607994984,356.0
2vars_inflation_monetary_policy,6,4,vix,-0.03776781950011602,-4.39269538478611,4.977883322720977e-05,356.0
2vars_inflation_monetary_policy,6,5,vix,-0.037743988418455596,-4.4402114832836075,4.617925416483537e-05,356.0
2vars_market_volatility_monetary_policy,2,0,10y_treasury_const_maturity_rate,-0.027150438824185365,-1.9927453733459004,0.0480798691955977,356.0
2vars_market_volatility_monetary_policy,2,0,PCE_price_index,-0.5750049573653853,-2.5936239831058825,0.010425420631207105,356.0
2vars_market_volatility_monetary_policy,2,0,PPI_inflation,-0.11192888678166939,-1.9921346060643996,0.04814756063136172,356.0
2vars_market_volatility_monetary_policy,2,0,cpi,0.6486583506763244,2.933138169166373,0.003875515222898862,356.0
2vars_market_volatility_monetary_policy,2,0,export_price_index,0.08124994435980577,2.9808082223329477,0.0033488230079523618,356.0
2vars_market_volatility_monetary_policy,2,0,nat_fin_condition_indx,0.012993380195315714,3.0140769454025165,0.0030211547474436884,356.0
2vars_market_volatility_monetary_policy,2,0,vix,-0.03816104300819578,-8.02879868310484,2.502442697505103e-13,356.0
2vars_market_volatility_monetary_policy,2,1,10y_treasury_const_maturity_rate,-0.024321542953617006,-2.2621035801562264,0.024942379663185577,356.0
2vars_market_volatility_monetary_policy,2,1,export_price_index,0.07612636580763017,3.113618205423937,0.0021650729174762517,356.0
2vars_market_volatility_monetary_policy,2,1,nat_fin_condition_indx,0.015601022525760176,3.0425949213948376,0.0027133778368586547,356.0
2vars_market_volatility_monetary_policy,2,1,vix,-0.0351019447246429,-6.856450742101295,1.2139911298447714e-10,356.0
2vars_market_volatility_monetary_policy,3,0,export_price_index,0.07214791852171697,2.152453601606878,0.033841615987078466,356.0
2vars_market_volatility_monetary_policy,3,0,nat_fin_condition_indx,0.014247170813094049,2.41356823892843,0.01767345232998374,356.0
2vars_market_volatility_monetary_policy,3,0,vix,-0.038609615578043974,-6.255951349422706,1.066518273695749e-08,356.0
2vars_market_volatility_monetary_policy,3,1,cpi,0.5745239858077642,2.0952989225129617,0.038760766677645275,356.0
2vars_market_volatility_monetary_policy,3,1,export_price_index,0.07684560447308864,2.299028634745243,0.02365833545641305,356.0
