date,regime,regime_name,prob_R0,prob_R1,prob_R2,prob_R3
2011-07-01,3,Slowdown,0.017900811778166423,0.028695460953330202,0.2846043906867204,0.668799336581783
2011-08-01,2,Stagflation,0.03671157318204598,0.07639203244798602,0.4925661413311765,0.3943302530387915
2011-09-01,3,Slowdown,0.2306742234700024,0.17036252771547028,0.19307313490590985,0.40589011390861757
2011-10-01,0,Goldilocks,0.6455367506235714,0.08297843583388079,0.06912613323960716,0.20235868030294066
2011-11-01,1,Overheating,0.23266489188663314,0.3906209271189552,0.11558940714435405,0.26112477385005756
2011-12-01,0,Goldilocks,0.5717772601480656,0.10253212950919804,0.08734300571124617,0.23834760463149024
2012-01-01,1,Overheating,0.04779882499743844,0.4923920071272208,0.20052465173794995,0.2592845161373908
2012-02-01,3,Slowdown,0.11265775231080997,0.23781738762550694,0.27544793800533135,0.3740769220583518
2012-03-01,3,Slowdown,0.09466405312949831,0.142417238650266,0.3087340299673354,0.4541846782529004
2012-04-01,3,Slowdown,0.07632855244837873,0.07335660494484389,0.2400397131294255,0.6102751294773519
2012-05-01,3,Slowdown,0.06676030272579263,0.028853447626429062,0.08661514123632809,0.8177711084114502
2012-06-01,3,Slowdown,0.04093625225313258,0.022698170926860675,0.08053481194260391,0.855830764877403
2012-07-01,3,Slowdown,0.02069031098995269,0.016485805449204163,0.08134440617256108,0.881479477388282
2012-08-01,2,Stagflation,0.010904818421314284,0.0412930919862247,0.7253617633505411,0.22244032624191987
2012-09-01,2,Stagflation,0.01328779211440466,0.043546673939727956,0.6712044236634248,0.2719611102824427
2012-10-01,2,Stagflation,0.014846822583503092,0.04322479947456393,0.6513354763912825,0.2905929015506505
2012-11-01,3,Slowdown,0.09155031424464215,0.03618727526111768,0.10244991541100118,0.769812495083239
2012-12-01,3,Slowdown,0.29060347511535456,0.07549881884950375,0.12858723434269068,0.5053104716924509
2013-01-01,1,Overheating,0.2622402309598919,0.3453721356376312,0.1192928280882559,0.27309480531422103
2013-02-01,1,Overheating,0.04486838936313156,0.405025838524605,0.2762006240808051,0.27390514803145843
2013-03-01,3,Slowdown,0.1302526319319846,0.038380608816626305,0.09991170790641334,0.7314550513449757
2013-04-01,3,Slowdown,0.04852344993202703,0.020968349783262754,0.07228076224218269,0.8582274380425275
2013-05-01,3,Slowdown,0.1044751306290213,0.06203963452536946,0.1729079161633366,0.6605773186822725
2013-06-01,3,Slowdown,0.10035061902551635,0.226803575891217,0.29934066848620655,0.3735051365970601
2013-07-01,0,Goldilocks,0.3684840112537956,0.17401459784332438,0.14039354424434852,0.31710784665853137
2013-08-01,3,Slowdown,0.31318670556981454,0.2151421083826168,0.15082424468165667,0.32084694136591213
2013-09-01,0,Goldilocks,0.49713021059580187,0.09532706487523408,0.10435465497996153,0.30318806954900257
2013-10-01,0,Goldilocks,0.3680816125062531,0.18640606106753044,0.13763712507070408,0.30787520135551244
2013-11-01,3,Slowdown,0.0837234219942131,0.08943030010268574,0.2838413223314151,0.543004955571686
2013-12-01,3,Slowdown,0.023719092399307563,0.03666511610703737,0.3333763134614658,0.6062394780321894
2014-01-01,3,Slowdown,0.010331740648930934,0.019266112338386508,0.30459227812505935,0.6658098688876233
2014-02-01,3,Slowdown,0.03003750471074856,0.021724786675624292,0.10767120607059762,0.8405665025430297
2014-03-01,3,Slowdown,0.21964758781002655,0.19857374358467558,0.20102585593913785,0.38075281266616
2014-04-01,1,Overheating,0.3157483973956551,0.32810906046898736,0.0835247331997481,0.27261780893560944
2014-05-01,0,Goldilocks,0.36497923069386673,0.29398387274877147,0.08205834294601248,0.25897855361134925
2014-06-01,0,Goldilocks,0.5306253200343398,0.18039886399157382,0.07213700914084079,0.21683880683324566
2014-07-01,0,Goldilocks,0.4489413784478424,0.23777988024600832,0.07793420873020598,0.23534453257594323
2014-08-01,0,Goldilocks,0.5537607774853377,0.08493748758530201,0.08460394786552361,0.2766977870638366
2014-09-01,3,Slowdown,0.33708595126383933,0.09714051868769348,0.13117491901958264,0.4345986110288846
2014-10-01,3,Slowdown,0.1317413404764899,0.05009420992348326,0.12464656871556688,0.6935178808844599
2014-11-01,3,Slowdown,0.2044455043645528,0.05581415487375866,0.11739238487336602,0.6223479558883225
2014-12-01,3,Slowdown,0.22596197558767067,0.05696447563266308,0.10931766857033873,0.6077558802093276
2015-01-01,3,Slowdown,0.09320982885997599,0.03096125738777078,0.0948236405494631,0.7810052732027902
2015-02-01,3,Slowdown,0.21336669447047357,0.2578660999218562,0.1825884449435987,0.34617876066407155
2015-03-01,3,Slowdown,0.15387218391643098,0.22363602434367338,0.2386183075336968,0.38387348420619877
2015-04-01,3,Slowdown,0.18121553853756714,0.10537636555223005,0.1781375307149699,0.535270565195233
2015-05-01,2,Stagflation,0.06861741335085143,0.16232925242724514,0.4226917147836082,0.3463616194382952
2015-06-01,3,Slowdown,0.06739965149291621,0.11384300769784193,0.38094760135396577,0.4378097394552761
2015-07-01,3,Slowdown,0.06967008665259497,0.05493772322344338,0.1933910215927411,0.6820011685312206
2015-08-01,3,Slowdown,0.05656302059289193,0.029776791998641333,0.10996393877488927,0.8036962486335774
2015-09-01,3,Slowdown,0.05687773570942634,0.0187755609710589,0.07284340865730721,0.8515032946622075
2015-10-01,3,Slowdown,0.025917657637035883,0.01636875823932718,0.08074773958620601,0.8769658445374308
2015-11-01,3,Slowdown,0.051442111825206305,0.03606639985506181,0.1514104038560767,0.7610810844636552
2015-12-01,3,Slowdown,0.1297497837798429,0.03612958716550568,0.10296648586561359,0.7311541431890378
2016-01-01,3,Slowdown,0.18985366391782102,0.07706301562584895,0.1529496414598145,0.5801336789965156
2016-02-01,3,Slowdown,0.1549270414598604,0.04491718074110118,0.11271208017461307,0.6874436976244254
